,rainfall_mm,snow_depth_cm,air_temp,max_temp,min_temp,min_ground_temp
137,-1.0,-1.0,2.1,4.1,0.0,-1.3
138,4.0,-1.0,3.7,5.6,2.1,-1.1
139,0.4,-1.0,3.5,5.9,2.4,2.5
140,2.0,-1.0,4.3,5.1,3.3,2.4
141,0.0,-1.0,5.1,9.4,3.3,2.4
142,0.0,-1.0,5.1,11.4,0.4,-2.0
143,-1.0,-1.0,4.9,10.7,-1.3,-4.1
144,-1.0,-1.0,5.6,10.7,1.6,-0.1
145,-1.0,-1.0,8.8,13.8,4.7,3.4
146,-1.0,-1.0,9.8,15.6,3.7,-1.6
147,-1.0,-1.0,10.6,16.4,3.4,-2.6
148,-1.0,-1.0,9.9,15.2,3.5,-1.6
149,-1.0,-1.0,13.2,20.3,4.6,-0.7
150,-1.0,-1.0,7.1,15.0,3.1,1.9
151,-1.0,-1.0,6.5,11.5,-0.6,-6.5
152,-1.0,-1.0,8.6,14.2,0.9,-3.5
153,-1.0,-1.0,10.5,15.2,3.4,-2.3
154,-1.0,-1.0,12.1,18.5,5.2,-1.3
155,0.0,-1.0,12.4,18.0,4.7,-1.3
156,0.0,-1.0,9.5,15.8,6.3,4.4
157,-1.0,-1.0,7.0,12.3,1.2,-1.1
158,0.4,-1.0,4.2,8.0,2.7,-1.0
159,8.1,-1.0,3.0,8.7,-1.2,-3.0
160,1.2,-1.0,4.5,8.9,-1.0,-2.8
161,4.4,-1.0,4.5,8.3,2.1,1.7
162,1.0,-1.0,4.0,8.3,1.0,0.7
163,-1.0,-1.0,4.5,10.5,-1.8,-5.5
164,1.8,-1.0,5.9,11.0,-1.4,-6.6
165,7.9,-1.0,5.5,6.8,4.4,4.1
166,13.6,-1.0,8.0,12.1,5.4,5.4
167,2.6,-1.0,8.7,13.3,5.6,5.6
168,2.2,-1.0,9.4,13.0,8.2,7.9
169,0.1,-1.0,9.5,13.0,7.8,7.4
170,4.4,-1.0,9.6,12.2,7.6,6.0
171,-1.0,-1.0,10.8,15.3,7.3,6.4
172,-1.0,-1.0,8.8,13.3,5.3,3.4
173,-1.0,-1.0,8.7,13.3,5.0,-1.0
174,-1.0,-1.0,11.9,16.3,3.7,-1.2
175,-1.0,-1.0,16.4,22.8,6.4,0.9
176,0.1,-1.0,19.3,26.0,14.4,12.4
177,0.6,-1.0,18.1,25.3,12.4,10.8
178,1.5,-1.0,15.0,18.5,12.2,10.2
179,-1.0,-1.0,17.5,23.8,10.3,8.9
180,-1.0,-1.0,19.3,24.8,11.4,6.2
181,-1.0,-1.0,22.2,27.8,17.3,11.3
182,-1.0,-1.0,21.0,26.6,17.4,11.8
183,0.0,-1.0,18.1,23.9,12.9,9.4
184,1.5,-1.0,7.7,18.0,5.8,6.6
185,7.1,-1.0,6.9,8.4,5.1,4.4
186,0.6,-1.0,9.0,10.5,6.9,6.3
187,-1.0,-1.0,11.2,14.2,9.9,10.0
188,0.0,-1.0,11.3,15.6,9.7,9.4
189,-1.0,-1.0,13.2,17.7,8.3,6.8
190,-1.0,-1.0,15.0,17.7,11.2,8.3
191,2.1,-1.0,14.8,16.2,13.9,13.3
192,-1.0,-1.0,19.2,24.0,13.7,12.1
193,-1.0,-1.0,20.1,25.7,15.8,10.3
194,1.1,-1.0,18.1,24.0,14.8,11.7
195,2.2,-1.0,16.0,20.1,12.9,9.4
196,-1.0,-1.0,14.9,18.8,11.6,7.1
197,-1.0,-1.0,16.8,22.2,11.7,8.3
198,1.8,-1.0,16.3,19.6,14.4,11.8
199,4.5,-1.0,16.5,20.9,12.6,12.4
200,15.1,-1.0,13.1,16.4,12.1,9.7
201,8.1,-1.0,13.3,15.4,11.4,11.0
202,-1.0,-1.0,12.8,14.9,12.1,11.5
203,0.0,-1.0,13.7,17.9,6.7,3.4
204,2.6,-1.0,11.3,17.5,8.6,6.3
205,0.2,-1.0,7.7,11.9,3.3,2.1
206,0.6,-1.0,11.6,17.9,4.3,2.6
207,0.4,-1.0,12.2,17.4,8.7,6.6
208,6.0,-1.0,11.1,15.1,7.3,3.5
209,3.0,-1.0,8.8,13.2,5.5,3.9
210,7.4,-1.0,9.2,13.1,6.6,2.1
211,0.2,-1.0,10.1,13.9,5.9,4.9
212,4.3,-1.0,12.0,15.5,7.8,5.9
213,-1.0,-1.0,12.1,15.0,9.2,7.1
214,1.3,-1.0,11.9,16.2,9.5,8.0
215,-1.0,-1.0,12.9,17.2,8.3,6.0
216,1.2,-1.0,15.2,19.8,10.6,5.5
217,14.3,-1.0,13.0,14.8,11.9,9.1
218,-1.0,-1.0,13.4,15.5,11.8,11.8
219,2.7,-1.0,13.0,14.1,12.2,11.6
220,0.1,-1.0,14.3,18.3,10.7,9.6
221,1.0,-1.0,15.0,19.3,10.9,6.8
222,-1.0,-1.0,16.9,21.7,13.1,12.8
223,-1.0,-1.0,17.0,22.1,11.2,7.3
224,-1.0,-1.0,18.8,22.7,11.5,7.8
225,-1.0,-1.0,21.0,24.5,16.3,12.9
226,-1.0,-1.0,21.4,25.2,17.7,13.1
227,5.4,-1.0,23.0,28.1,15.2,10.9
228,-1.0,-1.0,16.8,25.4,15.2,15.6
229,-1.0,-1.0,16.0,19.7,9.3,7.1
230,-1.0,-1.0,17.9,21.4,11.9,7.9
231,-1.0,-1.0,21.3,24.8,18.5,16.9
232,0.1,-1.0,19.2,23.7,17.4,14.9
233,0.0,-1.0,18.8,23.2,16.0,11.8
234,0.0,-1.0,17.4,21.6,15.3,13.3
235,-1.0,-1.0,18.9,24.1,14.1,9.9
236,-1.0,-1.0,20.0,25.2,15.7,12.0
237,-1.0,-1.0,21.3,25.9,15.7,12.8
238,-1.0,-1.0,21.0,26.1,15.3,11.8
239,-1.0,-1.0,21.4,25.8,15.3,13.0
240,-1.0,-1.0,22.7,28.0,14.9,11.4
241,-1.0,-1.0,25.0,30.7,18.7,15.6
242,-1.0,-1.0,23.4,28.6,17.7,14.2
243,-1.0,-1.0,24.4,29.9,17.0,13.1
244,-1.0,-1.0,25.5,31.0,19.7,14.6
245,-1.0,-1.0,25.1,30.0,18.7,13.8
246,-1.0,-1.0,25.5,31.6,19.5,14.9
247,-1.0,-1.0,23.6,28.6,20.4,15.8
248,0.0,-1.0,23.0,27.5,17.9,15.1
249,1.3,-1.0,22.6,29.2,20.1,19.6
250,-1.0,-1.0,21.9,25.5,18.3,14.7
251,-1.0,-1.0,22.4,26.7,18.1,15.6
252,-1.0,-1.0,23.0,26.9,18.3,13.4
253,-1.0,-1.0,24.6,27.9,21.8,19.6
254,-1.0,-1.0,24.5,28.0,20.8,16.2
255,-1.0,-1.0,24.8,28.2,20.2,16.1
256,7.8,-1.0,22.9,29.0,18.6,15.5
257,-1.0,-1.0,21.4,26.2,17.0,12.4
258,-1.0,-1.0,20.8,25.4,15.6,11.7
259,0.1,-1.0,21.8,26.8,16.4,12.6
260,7.9,-1.0,22.4,25.7,19.2,14.8
261,1.5,-1.0,20.5,25.4,18.7,18.1
262,6.5,-1.0,17.9,22.7,13.6,9.8
263,-1.0,-1.0,17.3,21.5,12.5,11.7
264,2.1,-1.0,17.2,23.5,12.5,10.1
265,0.7,-1.0,17.6,22.2,14.3,10.7
266,2.7,-1.0,16.5,21.8,11.5,8.6
267,3.9,-1.0,16.3,19.5,14.3,10.4
268,17.2,-1.0,15.2,17.7,12.3,13.5
269,30.0,-1.0,13.9,17.9,11.4,12.2
270,0.0,-1.0,15.0,18.9,11.0,10.6
271,-1.0,-1.0,14.8,18.4,12.0,9.3
272,13.6,-1.0,13.3,18.1,11.6,9.7
273,0.2,-1.0,14.9,19.0,11.3,9.0
274,12.4,-1.0,13.7,15.6,11.5,9.1
275,8.5,-1.0,14.3,19.8,12.5,12.3
276,14.1,-1.0,13.8,18.5,11.3,9.7
277,2.4,-1.0,14.2,18.1,12.3,10.8
278,3.0,-1.0,13.1,16.4,10.1,7.4
279,-1.0,-1.0,12.6,16.2,10.0,8.1
280,-1.0,-1.0,12.7,16.6,9.2,7.9
281,0.0,-1.0,12.0,15.2,8.2,6.4
282,-1.0,-1.0,12.7,17.5,6.8,2.5
283,-1.0,-1.0,16.1,20.4,12.7,10.1
284,-1.0,-1.0,15.8,20.6,12.7,11.5
285,-1.0,-1.0,16.6,20.7,14.1,12.4
286,-1.0,-1.0,14.2,19.5,9.4,4.8
287,0.0,-1.0,14.5,20.0,8.7,4.0
288,-1.0,-1.0,15.9,20.1,9.8,5.2
289,11.1,-1.0,16.4,19.4,15.0,13.2
290,0.0,-1.0,15.0,19.2,10.0,6.8
291,0.1,-1.0,14.9,20.0,11.1,7.4
292,-1.0,-1.0,15.4,19.7,12.9,13.1
293,-1.0,-1.0,13.8,18.0,11.3,8.4
294,-1.0,-1.0,12.9,18.6,7.1,2.9
295,0.1,-1.0,13.1,19.0,8.6,4.5
296,-1.0,-1.0,12.1,17.8,5.5,2.4
297,-1.0,-1.0,12.0,17.4,6.7,1.6
298,-1.0,-1.0,12.7,18.2,7.2,2.1
299,-1.0,-1.0,14.1,19.0,9.1,3.1
300,-1.0,-1.0,14.4,18.1,9.9,4.0
301,0.0,-1.0,14.5,16.6,13.5,6.7
302,18.8,-1.0,10.0,13.8,6.4,5.7
303,0.0,-1.0,3.4,6.4,2.6,2.2
304,16.5,-1.0,5.6,10.9,-0.5,-1.7
305,1.1,-1.0,11.3,12.9,7.6,6.9
306,7.3,-1.0,12.0,13.4,10.8,9.1
307,-1.0,-1.0,11.4,14.2,8.2,6.4
308,-1.0,-1.0,12.3,16.7,9.8,7.6
309,-1.0,-1.0,11.7,15.9,9.3,7.7
310,-1.0,-1.0,8.5,12.7,5.7,4.6
311,-1.0,-1.0,6.4,11.1,1.7,-1.8
312,-1.0,-1.0,8.5,12.3,2.6,-2.6
313,0.5,-1.0,11.4,14.7,9.4,7.3
314,1.0,-1.0,11.3,12.6,9.8,10.1
315,-1.0,-1.0,7.6,10.9,6.0,2.6
316,-1.0,-1.0,7.7,8.4,5.9,5.7
317,-1.0,-1.0,9.2,10.6,7.1,6.4
318,5.9,-1.0,8.5,10.1,6.8,6.3
319,11.7,-1.0,10.8,11.9,9.8,8.6
320,0.4,-1.0,12.0,12.9,10.5,10.4
321,-1.0,-1.0,10.7,13.9,8.9,8.6
322,0.2,-1.0,7.8,10.0,5.4,1.6
323,2.4,-1.0,7.8,8.6,6.9,6.5
324,-1.0,-1.0,8.6,10.3,7.6,7.8
325,0.0,-1.0,3.9,7.7,3.0,3.0
326,-1.0,-1.0,2.5,5.2,1.0,-0.2
327,-1.0,-1.0,0.8,4.0,-1.4,-3.9
328,3.3,-1.0,0.1,3.6,-4.3,-8.8
329,12.6,-1.0,7.2,10.4,1.1,-1.7
330,0.0,-1.0,6.7,10.5,5.2,0.8
331,-1.0,-1.0,0.8,5.4,-0.4,0.8
332,0.0,-1.0,-2.0,0.2,-3.6,-2.5
333,-1.0,-1.0,-1.9,0.0,-4.2,-5.6
334,-1.0,-1.0,0.5,3.0,-1.9,-3.4
335,0.0,-1.0,3.8,5.1,1.2,0.2
336,0.5,-1.0,6.8,8.0,4.3,3.5
337,0.6,-1.0,10.1,10.8,8.0,7.5
338,-1.0,-1.0,10.6,11.2,9.8,9.0
339,0.4,-1.0,8.7,10.7,8.1,6.9
340,-1.0,-1.0,5.3,9.2,3.5,0.1
341,0.1,-1.0,3.9,6.9,1.0,-1.5
342,0.1,-1.0,1.8,4.7,-0.7,-3.0
343,9.6,-1.0,6.1,8.7,2.0,1.1
344,5.1,-1.0,8.6,9.1,7.8,8.0
345,2.0,-1.0,9.2,10.1,8.1,7.8
346,-1.0,-1.0,3.8,9.8,1.6,2.7
347,18.1,-1.0,1.2,1.6,0.4,0.2
348,0.4,-1.0,2.1,4.9,1.4,0.9
349,-1.0,-1.0,1.2,2.3,0.8,0.5
350,-1.0,-1.0,5.9,8.3,-0.2,-2.9
351,1.2,-1.0,5.6,8.0,4.5,3.1
352,0.8,-1.0,7.8,9.1,5.9,5.6
353,-1.0,-1.0,6.6,8.3,5.1,6.0
354,-1.0,-1.0,3.4,5.3,2.6,3.2
355,-1.0,-1.0,2.1,2.7,1.6,1.6
356,-1.0,-1.0,1.3,2.3,0.7,1.0
357,-1.0,-1.0,3.0,5.1,0.6,-0.6
358,-1.0,-1.0,2.5,4.0,1.8,1.5
359,-1.0,-1.0,2.3,3.1,1.6,1.5
360,-1.0,-1.0,1.2,2.6,0.4,1.1
361,-1.0,-1.0,-0.7,0.4,-2.1,-3.2
362,6.8,-1.0,-1.3,-0.4,-2.0,-1.5
363,-1.0,5.0,-1.7,-0.9,-2.1,-2.35
364,-1.0,4.0,0.4,1.6,-2.4,-3.2
365,0.4,-1.0,1.4,3.4,0.3,0.0
366,1.8,-1.0,2.5,3.4,1.1,0.8
367,0.4,-1.0,3.8,4.3,3.0,2.6
368,0.5,-1.0,3.2,3.8,3.0,2.7
369,1.4,-1.0,2.2,3.3,1.3,1.9
370,1.2,-1.0,0.8,1.4,0.3,0.0
371,-1.0,-1.0,-1.8,0.6,-4.3,-1.6
372,-1.0,-1.0,-3.3,-1.8,-5.0,-8.7
373,-1.0,-1.0,0.2,2.3,-2.9,-7.5
374,-1.0,-1.0,2.8,4.4,1.2,1.2
375,0.0,-1.0,3.1,4.9,1.8,1.9
376,1.4,-1.0,2.5,4.2,-0.7,-5.2
377,4.4,-1.0,2.3,3.9,0.9,0.8
378,2.2,-1.0,3.9,5.1,2.0,-0.7
379,10.9,-1.0,3.0,4.6,1.4,2.8
380,2.5,-1.0,3.3,4.8,1.8,1.8
381,2.6,-1.0,3.3,4.4,1.8,-0.6
382,1.5,-1.0,2.8,4.1,1.2,0.2
383,11.9,-1.0,2.2,3.0,1.1,0.3
384,0.8,2.0,1.4,3.2,0.2,0.0
385,-1.0,0.0,1.8,2.5,-0.3,-2.1
386,4.7,-1.0,2.8,4.3,0.8,-1.1
387,5.7,-1.0,3.1,4.3,0.6,0.0
388,-1.0,-1.0,1.5,4.1,-0.4,1.2
389,6.8,-1.0,1.1,2.6,-1.9,-4.2
390,3.0,-1.0,4.0,5.0,2.6,2.0
391,-1.0,-1.0,1.4,4.4,0.2,-0.2
392,1.7,-1.0,-0.3,1.1,-1.2,-2.0
393,9.6,2.0,-1.8,0.7,-3.3,-9.1
394,-1.0,11.0,-6.6,-0.2,-8.7,-7.6
395,5.4,9.0,-5.2,-2.0,-10.1,-13.7
396,-1.0,13.0,-10.8,-4.2,-13.0,-14.2
397,1.0,11.0,-4.4,-1.5,-12.9,-18.5
398,-1.0,11.0,-5.9,-3.7,-8.1,-12.4
399,-1.0,12.0,-9.6,-6.1,-12.2,-9.6
400,0.7,12.0,-15.3,-11.9,-17.0,-19.1
401,10.8,13.0,-0.6,0.8,-16.4,-19.5
402,-1.0,13.0,3.3,4.0,0.7,0.3
403,0.9,9.0,2.9,4.7,1.7,1.0
404,5.0,3.0,3.8,5.6,3.2,1.1
405,1.8,-1.0,1.5,3.9,0.6,0.6
406,-1.0,0.0,-1.8,0.7,-2.2,-3.0
407,-1.0,2.0,-9.4,-1.5,-12.0,-9.2
408,-1.0,2.0,-12.0,-9.8,-15.5,-16.4
409,1.0,2.0,-3.0,-1.9,-11.9,-11.6
410,5.9,2.0,0.7,2.8,-2.4,-2.8
411,0.1,-1.0,0.7,3.1,-0.3,1.1
412,11.2,-1.0,-0.8,0.3,-2.6,-4.0
413,0.6,12.0,-6.4,0.4,-12.1,-0.9
414,8.8,10.0,-10.6,-9.9,-13.5,-14.9
415,3.5,18.0,1.2,2.2,-10.4,-10.8
416,0.0,15.0,1.6,2.9,0.4,0.0
417,9.5,13.0,1.7,2.8,0.4,-1.9
418,1.8,20.0,2.0,3.7,0.1,-0.2
419,1.7,10.0,2.5,3.8,1.2,1.7
420,-1.0,6.0,1.9,2.8,0.9,-0.5
421,0.7,5.0,-0.6,1.5,-1.9,-2.6
422,0.2,6.0,-2.5,-1.6,-3.6,-3.5
423,-1.0,6.0,-4.0,-1.3,-6.6,-7.0
424,0.6,6.0,-7.3,-6.3,-9.3,-9.7
425,0.5,6.0,-3.8,0.5,-7.6,-7.5
426,-1.0,6.0,-1.2,0.5,-3.9,-5.5
427,-1.0,7.0,-0.9,-0.3,-1.5,-1.8
428,-1.0,7.0,0.8,1.4,-0.7,-0.9
429,1.2,7.0,0.0,0.9,-1.1,-0.1
430,0.0,9.0,0.6,1.5,-1.2,-1.4
431,0.2,7.0,0.6,1.2,-0.3,0.0
432,-1.0,7.0,0.6,1.4,-0.5,-0.2
433,18.1,7.0,0.6,1.1,-0.7,-1.9
434,10.5,15.0,0.4,0.6,0.1,-0.1
435,6.4,16.0,0.7,1.1,0.2,-0.1
436,0.6,17.0,0.3,1.1,-0.7,-0.1
437,-1.0,17.0,-1.4,0.2,-3.2,-3.9
438,1.6,17.0,-1.3,-0.4,-1.8,-1.9
439,-1.0,18.0,0.4,3.3,-2.5,-4.0
440,0.0,19.0,1.0,2.5,-0.5,-2.5
441,-1.0,18.0,-3.0,1.1,-5.2,-4.4
442,0.9,19.0,-2.6,0.4,-7.2,-10.3
443,-1.0,19.0,4.1,8.3,0.3,0.0
444,-1.0,18.0,3.3,7.1,1.5,0.6
445,0.0,17.0,1.6,2.7,0.8,1.1
446,1.3,15.0,1.0,2.2,-1.0,-4.8
447,1.1,15.0,0.3,1.2,-0.5,-0.1
448,-1.0,15.0,-5.4,0.7,-7.9,-9.7
449,-1.0,15.0,-3.2,-1.6,-8.2,-12.0
450,1.8,15.0,-1.8,-0.9,-3.7,-5.3
451,0.0,16.0,1.6,3.7,-1.0,-1.4
452,0.6,15.0,2.3,3.2,0.8,-1.7
453,2.3,12.0,2.3,3.1,2.0,1.3
454,4.5,9.0,1.6,2.3,0.4,0.0
455,4.9,9.0,1.8,2.8,1.2,0.0
456,3.8,8.0,2.0,2.9,0.6,0.0
457,1.5,8.0,2.4,3.0,0.5,0.0
458,-1.0,5.0,3.0,4.3,1.9,0.8
459,0.1,3.0,1.0,3.5,0.0,-1.1
460,-1.0,2.0,0.8,3.8,-1.0,-0.1
461,-1.0,0.0,1.1,2.1,0.0,-0.3
462,0.0,-1.0,1.7,2.7,0.9,0.4
463,7.7,-1.0,2.4,2.9,1.8,0.3
464,6.5,-1.0,1.8,2.5,0.5,1.1
465,1.4,-1.0,1.2,2.7,0.3,0.0
466,0.0,-1.0,1.3,3.8,0.2,-0.3
467,4.7,-1.0,1.2,2.3,0.4,-0.7
468,0.3,-1.0,1.9,3.7,-0.1,0.1
469,-1.0,-1.0,4.5,5.0,3.0,2.7
470,-1.0,-1.0,5.9,10.4,4.3,3.0
471,0.3,-1.0,3.2,5.3,0.7,-1.0
472,-1.0,-1.0,4.0,7.4,2.2,0.7
473,-1.0,-1.0,1.2,5.8,-2.4,-6.7
474,-1.0,-1.0,1.3,4.7,-2.7,-8.6
475,-1.0,-1.0,2.2,6.9,-2.0,-4.6
476,-1.0,-1.0,3.3,7.9,-1.5,-7.0
477,-1.0,-1.0,3.4,8.3,-1.3,-7.4
478,-1.0,-1.0,3.9,10.8,-1.2,-6.5
479,-1.0,-1.0,4.2,12.4,-2.4,-7.1
480,-1.0,-1.0,3.2,9.1,-2.7,-8.0
481,-1.0,-1.0,2.6,4.2,1.3,-0.1
482,-1.0,-1.0,-1.7,2.1,-2.9,-2.7
483,-1.0,-1.0,-3.1,0.4,-8.9,-11.3
484,1.9,-1.0,2.1,2.6,-0.1,-0.4
485,0.0,-1.0,5.0,9.3,2.6,2.2
486,0.7,-1.0,-0.8,4.7,-1.6,-2.6
487,-1.0,-1.0,0.1,1.6,-3.1,-4.5
488,4.4,-1.0,2.0,2.7,0.8,0.3
489,1.3,-1.0,3.6,5.4,2.4,2.1
490,3.3,-1.0,2.7,4.5,1.3,-0.5
